"personagem" "diálogo"
"1" "THREEPIO" "Você ouviu isso? Eles desligaram o reator principal. Seremos destruídos com certeza. Isso é loucura!"
"2" "THREEPIO" "Estamos condenados!"
"3" "THREEPIO" "Não haverá escapatória para a princesa desta vez."
"4" "TRÊS" "O que é isso?"
"5" "THREEPIO" "Eu deveria saber melhor do que confiar na lógica de um assistente de remoção de alojamento termocapsular de tamanho médio..."
"6" "LUKE" "Apresse-se! Venha comigo! O que você está esperando?! Acelere!"
"7" "THREEPIO" "Artoo! Artoo-Detoo, onde você está?"
"8" "THREEPIO" "Finalmente! Onde você esteve?"
"9" "THREEPIO" "Eles estão indo nessa direção. O que vamos fazer? Seremos enviados para as minas de especiarias de Kessel ou esmagados sabe-se lá o quê!"
"10" "TRÊS" "Espere um minuto, onde você está indo?"
"11" "OFICIAL IMPERIAL" "Os planos da Estrela da Morte não estão no computador principal."
"12" "VADER" "Onde estão as transmissões que você interceptou?"
"13" "OFICIAL REBELDE" "Não interceptamos nenhuma transmissão. Aaah... Este é um navio consular. Estávamos em uma missão diplomática."
"14" "VADER" "Se este é um navio consular... onde está o embaixador?"
"15" "VADER" "Comandante, destrua este navio até encontrar esses planos e traga-me o Embaixador. Quero-o vivo!"
"16" "TROOPER" "Lá está ela! Preparada para atordoar!"
"17" "TROOPER" "Ela vai ficar bem. Informe Lord Vader que temos um prisioneiro."
"18" "THREEPIO" "Ei, você não tem permissão para entrar lá. É restrito. Você será desativado com certeza.."
"19" "TRÊS" "Não me chame de filósofo estúpido, seu gordo gordo de gordura! Agora saia antes que alguém o veja."
"20" "THREEPIO" "Missão secreta? Que planos? Do que você está falando? Eu não vou entrar lá!"
"21" "THREEPIO" "Vou me arrepender disso."
"22" "PILOTO-CHEFE" "Lá vai outro."
"23" "CAPITÃO" "Mantenha seu fogo. Não há formas de vida. Deve ter sido curto-circuito."
"24" "THREEPIO" "Isso é engraçado, o dano não parece tão ruim daqui."
"25" "THREEPIO" "Tem certeza de que essas coisas são seguras?"
"26" "Mulher" "Eu disse a vocês para irem mais devagar!"
"27" "FIXER" "Eu ouvi um barulho jovem explodir por aqui?"
