"personagem" "diálogo"
"1" "SHUTTLE CAPTAIN" "Estação de comando, esta é a ST 321. Liberação de Código Azul. Estamos iniciando nossa abordagem. Desative o escudo de segurança."
"2" "DEATH STAR CONTROLLER" "O escudo defletor de segurança será desativado quando tivermos a confirmação de sua transmissão de código. Aguarde... Você está liberado para prosseguir."
"3" "SHUTTLE CAPTAIN" "Estamos começando nossa abordagem."
"4" "OFICIAL" "Informe o comandante que a nave de Lord Vader chegou."
"5" "OPERADOR" "Sim, senhor."
"6" "JERGERROD" "Lorde Vader, este é um prazer inesperado. Estamos honrados com sua presença."
"7" "VADER" "Você pode dispensar as gentilezas, Comandante. Estou aqui para colocá-lo de volta na programação."
"8" "JERJERROD" "Asseguro-lhe, Lord Vader, meus homens estão trabalhando o mais rápido que podem."
"9" "VADER" "Talvez eu possa encontrar novas maneiras de motivá-los."
"10" "JERJERROD" "Eu lhe digo, esta estação estará operacional conforme planejado."
"11" "VADER" "O Imperador não compartilha de sua avaliação otimista da situação."
"12" "JERJERROD" "Mas ele pede o impossível. Preciso de mais homens."
"13" "VADER" "Então talvez você possa dizer a ele quando ele chegar."
"14" "JERJERROD" "O Imperador vem aqui?"
"15" "VADER" "Correto, Comandante. E ele está muito descontente com sua aparente falta de progresso."
"16" "JERJERROD" "Dobraremos nossos esforços."
"17" "VADER" "Espero que sim, Comandante, para o seu bem. O Imperador não perdoa tanto quanto eu."
"18" "THREEPIO" "Claro que estou preocupado. E você deveria estar também. Lando Calrissian e o pobre Chewbacca nunca voltaram deste lugar horrível."
"19" "THREEPIO" "Não tenha tanta certeza. Se eu lhe contasse metade das coisas que ouvi sobre esse Jabba the Hutt, você provavelmente entraria em curto-circuito."
"20" "THREEPIO" "Artoo, você tem certeza que este é o lugar certo? É melhor eu bater, suponho."
"21" "THREEPIO" "Parece que não tem ninguém lá. Vamos voltar e contar ao Mestre Luke."
"22" "VOZ ESTRANHA" "Tee chuta o que ei !"
"23" "THREEPIO" "Deus me dê graça!"
"24" "THREEPIO" "Artoo Detoowha bo Veja três piowha ei muito estranho mischka Jabba du Hutt."
"25" "THREEPIO" "Eu não acho que eles vão nos deixar entrar, Artoo. É melhor irmos."
"26" "TRÊS" "Artoo, espere. Oh, querido! Artoo. Artoo, eu realmente não acho que devemos nos apressar em tudo isso."
"27" "THREEPIO" "Oh, Artoo! Artoo, espere por mim!"
"28" "THREEPIO" "Apenas entregue a mensagem do Mestre Luke e nos tire daqui. Oh meu Deus! Oh! Oh, não."
