"personagem" "diálogo"
"1" "LUKE" "Eco Três a Eco Sete. Han, velho amigo, você me lê?"
"2" "HAN" "Alto e claro, garoto. E aí?"
"3" "LUKE" "Bem, eu terminei meu círculo. Eu não pego nenhuma leitura de vida."
"4" "HAN" "Não há vida suficiente neste cubo de gelo para encher um cruzador espacial. Os sensores estão colocados. Vou voltar."
"5" "LUKE" "Certo. Vejo você em breve. Há um meteorito que caiu no chão perto daqui. Eu quero dar uma olhada. Não vai demorar muito."
"6" "LUKE" "Ei, garota firme. Qual é o problema? Você cheira alguma coisa?"
"7" "LUKE" "Aaargh!"
"8" "HAN" "Chewie!"
"9" "HAN" "Tudo bem, não perca a calma. Eu já volto e te dou uma mão."
"10" "RIEEKAN" "Sozinho?"
"11" "HAN" "Nenhum sinal de vida lá fora, General. Os sensores estão no lugar. Você saberá se algo acontecer."
"12" "RIEEKAN" "O Comandante Skywalker já chegou?"
"13" "HAN" "Não. Ele está verificando um meteorito que caiu perto dele."
"14" "RIEEKAN" "Com toda a atividade de meteoros neste sistema, vai ser difícil detectar naves se aproximando."
"15" "HAN" "General, tenho que ir embora. Não posso mais ficar."
"16" "RIEEKAN" "Lamento ouvir isso."
"17" "HAN" "Bem, há um preço pela minha cabeça. Se eu não pagar Jabba the Hut, sou um homem morto."
"18" "RIEEKAN" "Uma marca da morte não é uma coisa fácil de se conviver. Você é um bom lutador, Solo. Eu odeio perder você."
"19" "HAN" "Obrigado, General."
"20" "HAN" "Bem, Alteza, acho que é isso."
"21" "LEIA" "Isso mesmo."
"22" "HAN" "Bem, não fique toda mole comigo. Até mais, Princesa."
"23" "LEIA" "Han!"
"24" "HAN" "Sim, Alteza?"
"25" "LEIA" "Achei que você tinha decidido ficar."
"26" "HAN" "Bem, o caçador de recompensas que encontramos em Ord Mantell mudou minha mente."
"27" "LEIA" "Han, precisamos de você!"
"28" "HAN" "Nós?"
"29" "LEIA" "Sim."
"30" "HAN" "Oh, o que você precisa?"
"31" "LEIA" "Preciso? Não sei do que você está falando."
"32" "HAN" "Você provavelmente não."
"33" "LEIA" "E o que exatamente eu deveria saber?"
"34" "HAN" "Vamos lá! Você quer que eu fique por causa do que você sente por mim."
"35" "LEIA" "Sim. Você é uma grande ajuda para nós. Você é um líder natural..."
"36" "HAN" "Não! Não é isso. Vamos. Aahhh -- uh huh! Vamos."
"37" "LEIA" "Você está imaginando coisas."
"38" "HAN" "Estou? Então por que você está me seguindo? Com medo de que eu vá embora sem te dar um beijo de despedida?"
"39" "LEIA" "Prefiro beijar um Wookiee."
"40" "HAN" "Eu posso arranjar isso. Você precisa de um bom beijo!"
"41" "THREEPIO" "Não tente me culpar. Eu não pedi para você ligar o aquecedor térmico. Eu apenas comentei que estava congelando no quarto da princesa. Mas deveria estar congelando. Como estamos vai secar todas as roupas dela? Eu realmente não sei."
"42" "THREEPIO" "Ah, desligue."
"43" "HAN" "Por que você desmonta isso agora? Estou tentando nos tirar daqui e você puxa os dois."
"44" "THREEPIO" "Com licença, senhor."
"45" "HAN" "Coloque-os juntos novamente agora mesmo."
"46" "THREEPIO" "Posso ter uma palavrinha com você, por favor?"
"47" "HAN" "O que você quer?"
"48" "THREEPIO" "Bem, é a princesa Leia, senhor. Ela está tentando colocá-lo no comunicador."
"49" "HAN" "Eu desliguei. Não quero falar com ela."
"50" "THREEPIO" "Ah. Bem, a Princesa Leia está se perguntando sobre o Mestre Luke. Ele ainda não voltou. Ela não sabe onde ele está."
"51" "HAN" "Não sei onde ele está."
"52" "THREEPIO" "Ninguém sabe onde ele está."
"53" "HAN" "O que você quer dizer com \"ninguém sabe\"?"
"54" "THREEPIO" "Bem, uh, você vê..."
"55" "HAN" "Oficial de convés. Oficial de convés!"
"56" "THREEPIO" "Com licença, senhor. Posso inqu-..."
"57" "OFICIAL DE CONVÉS" "Sim, senhor?"
"58" "HAN" "Você sabe onde o Comandante Skywalker está?"
"59" "OFICIAL DE CONVÉS" "Eu não o vi. É possível que ele tenha entrado pela entrada sul."
"60" "HAN" "É possível? Por que você não vai descobrir? Está ficando escuro lá fora."
"61" "OFICIAL DE CONVÉS" "Sim, senhor."
"62" "THREEPIO" "Com licença, senhor. Posso perguntar o que está acontecendo?"
"63" "HAN" "Por que não?"
"64" "THREEPIO" "Homem impossível. Venha, Artoo, vamos encontrar a princesa Leia. Cá entre nós, acho que o mestre Luke está em perigo considerável."
"65" "OFICIAL DE CONVÉS" "Senhor, o Comandante Skywalker não entrou pela entrada sul. Ele pode ter esquecido de fazer o check-in."
"66" "HAN" "Não é provável. Os speeders estão prontos?"
"67" "OFICIAL DO CONVÉS" "Ainda não. Estamos tendo problemas para adaptá-los ao frio."
"68" "HAN" "Então teremos que sair em Tauntauns."
"69" "OFICIAL DO CONVÉS" "Senhor, a temperatura está caindo muito rápido."
"70" "HAN" "Isso mesmo. E meus amigos lá fora."
"71" "OFICIAL ASSISTENTE" "Vou cobrir o setor doze. Faça com que o com-controle configure a tela alfa."
"72" "OFICIAL DE CONVÉS" "Seu Tauntaun vai congelar antes de você chegar ao primeiro marcador."
"73" "HAN" "Então eu te vejo no inferno!"
"74" "THREEPIO" "Você deve vir agora, Artoo. Não há realmente mais nada que possamos fazer. E minhas articulações estão congelando."
"75" "THREEPIO" "Não diga coisas assim! Claro que vamos ver o Mestre Luke novamente. Ele vai ficar bem, você vai ver. Curto-circuito estúpido. Ele vai ficar bem." certo."
"76" "TENENTE" "Senhor, todas as patrulhas estão dentro. Ainda não há contato de Skywalker ou Solo."
"77" "THREEPIO" "Senhora Leia, Artoo diz que tem sido incapaz de captar qualquer sinal, embora admita que seu próprio alcance é fraco demais para abandonar todas as esperanças."
"78" "DERLIN" "Vossa Alteza, não há mais nada que possamos fazer esta noite. As portas blindadas devem estar fechadas."
"79" "DERLIN" "Feche as portas."
"80" "TENENTE" "Sim, senhor."
"81" "THREEPIO" "Artoo diz que as chances de sobrevivência são setecentas e setenta e cinco... para uma."
"82" "THREEPIO" "Na verdade, Artoo é conhecido por cometer erros... de tempos em tempos. Oh, querido, oh, querido. Não se preocupe com o Mestre Luke. Tenho certeza de que ele ficará bem. . Ele é bastante inteligente, você sabe... para um ser humano."
"83" "BEN" "Luke...Luke."
"84" "LUKE" "Ben?"
"85" "BEN" "Você irá para o sistema Dagobah."
"86" "LUKE" "Sistema Dagobah?"
"87" "BEN" "Lá você aprenderá com Yoda, o Mestre Jedi que me instruiu."
"88" "LUKE" "Ben...Ben."
"89" "HAN" "Luke! Luke! Não faça isso, Luke. Vamos, me dê um sinal aqui."
"90" "HAN" "Não muito tempo."
"91" "LUKE" "Ben...Ben..."
"92" "HAN" "Espere aí, garoto."
"93" "LUKE" "Sistema Dagobah..."
"94" "HAN" "Ufa..."
"95" "LUKE" "Dagobah..."
"96" "HAN" "Isso pode cheirar mal, garoto..."
"97" "LUKE" "Yoda..."
"98" "HAN" "...mas vai te manter aquecido...até eu construir o abrigo. Ooh...eu pensei que eles cheiravam mal do lado de fora!"
"99" "ZEV" "Echo Base... eu tenho algo! Não muito, mas pode ser uma forma de vida."
"100" "ZEV" "Este é o Rouge Two. este é o Rouge Two. Capitão Solo, então você copia? Comandante Skywalker, você copia? Este é o Rouge Two."
"101" "HAN" "Bom dia. Que bom que vocês vieram."
"102" "ZEV" "Echo Base... aqui é Rouge Two. Eu os encontrei. Repito, eu os encontrei."
"103" "THREEPIO" "Mestre Luke, senhor, é bom vê-lo totalmente funcional novamente."
"104" "THREEPIO" "Artoo expressa seu alívio também."
"105" "HAN" "Como você está se sentindo, garoto? Você não parece tão ruim para mim. Na verdade, você parece forte o suficiente para arrancar as orelhas de um Gundark."
"106" "LUKE" "Graças a você."
"107" "HAN" "São dois que você me deve, júnior."
"108" "HAN" "Bem, Meritíssimo, parece que você conseguiu me manter por perto por mais um tempo."
"109" "LEIA" "Eu não tive nada a ver com isso. O General Rieekan acha que é perigoso para qualquer nave deixar o sistema até que tenhamos ativado o escudo de energia."
"110" "HAN" "Essa é uma boa história. Eu acho que você simplesmente não consegue deixar um cara lindo como eu fora de sua vista."
"111" "LEIA" "Não sei de onde você tira seus delírios, cérebro de laser."
"112" "HAN" "Ria disso, bola fuzz. Mas você não nos viu sozinhos na passagem sul."
"113" "HAN" "Ela expressou seus verdadeiros sentimentos por mim."
"114" "LEIA" "Meu...! Ora, você metido,... estúpido,... de aparência desalinhada... nerf-herder!"
"115" "HAN" "Quem é de aparência desalinhada? Eu devo ter acertado ela bem perto da marca para deixá-la toda irritada assim, hein, garoto?"
"116" "LEIA" "Ora, acho que você ainda não sabe tudo sobre as mulheres?"
"117" "LOCUTOR" "Pessoal do quartel-general, reporte-se ao centro de comando."
"118" "HAN" "Acalme-se."
"119" "THREEPIO" "Com licença, por favor."
"120" "RIEEKAN" "Princesa... temos uma visita."
"121" "RIEEKAN" "Pegamos algo fora da base na zona doze, movendo-se para o leste."
"122" "CONTROLADOR SÊNIOR" "É metal."
"123" "LEIA" "Então não pode ser uma daquelas criaturas que atacaram Luke."
"124" "HAN" "Pode ser um speeder, um dos nossos."
"125" "CONTROLADOR SÊNIOR" "Não. Espere - há algo muito fraco chegando."
"126" "THREEPIO" "Senhor, sou fluente em seis milhões de formas de comunicação. Este sinal não é usado pela Aliança. Pode ser um código imperial."
"127" "HAN" "Não é amigável, seja lá o que for. Vamos, Chewie, vamos dar uma olhada."
"128" "RIEEKAN" "Envie Rouges Dez e Onze para a estação três e oito."
"129" "HAN" "Receio que não sobrou muito."
"130" "LEIA" "O que foi?"
"131" "HAN" "Droid de algum tipo. Eu não bati com tanta força. Deve ter se autodestruído."
"132" "LEIA" "Um droide sonda imperial."
"133" "HAN" "É uma boa aposta que o Império sabe que estamos aqui."
"134" "RIEEKAN" "É melhor começarmos a evacuação."
"135" "PIETT" "Almirante."
"136" "OZZEL" "Sim, Capitão"
"137" "PIETT" "Acho que temos alguma coisa, senhor. O relatório é apenas um fragmento."
"138" "OZZEL" "Temos milhares de droides sondas vasculhando a galáxia. Quero provas, não pistas!"
"139" "PIETT" "Os visuais indicam leituras de vida."
"140" "OZZEL" "Pode significar qualquer coisa. Se seguirmos todas as pistas..."
"141" "PIETT" "Mas, senhor, supõe-se que o sistema Hoth seja desprovido de formas humanas."
"142" "VADER" "Você encontrou alguma coisa?"
"143" "PIETT" "Sim, meu senhor."
"144" "VADER" "É isso. Os rebeldes estão lá."
"145" "OZZEL" "Meu senhor, existem tantos assentamentos desconhecidos. Podem ser contrabandistas, podem ser..."
"146" "VADER" "Esse é o sistema. E tenho certeza que Skywalker está com eles. Defina seu curso para o sistema Hoth. General Veers, preparem vocês homens."
"147" "REBEL CAPTAIN" "Os grupos sete e dez ficarão para trás para pilotar os speeders. Assim que cada transporte estiver carregado, o controle de evacuação dará autorização para lançamento imediato."
"148" "LUTADOR REBELDE" "Certo, senhor."
"149" "HAN" "Ok, é isso. Experimente... Desligue! Desligue! Desligue! Desligue!"
"150" "DROIDE MÉDICO" "Senhor, vai demorar um pouco para evacuar os T-47s."
"151" "LUKE" "Bem, esqueça o equipamento pesado. Há muito tempo para colocar os módulos menores nos transportes."
"152" "DROIDE MÉDICO" "Cuidado, senhor."
"153" "LUKE" "Obrigado."
"154" "LUKE" "Chewie, cuide-se, ok?"
"155" "HAN" "Oi, garoto. Deve haver uma razão para isso. Verifique na outra extremidade. Espere um segundo. Você está bem?"
"156" "LUKE" "Sim."
"157" "HAN" "Tenha cuidado."
"158" "LUKE" "Você também."
"159" "CONTROLADOR" "General, há uma frota de Star Destroyers saindo do hiperespaço no setor quatro."
"160" "RIEEKAN" "Redirecione toda a energia para o escudo de energia. Temos que segurá-los até que todos os transportes se afastem. Prepare-se para o ataque terrestre."
"161" "VADER" "O que é, General?"
"162" "VEERS" "Meu senhor, a frota saiu da velocidade da luz. O Com-Scan detectou um campo de energia protegendo uma área ao redor do sexto planeta do sistema Hoth. O campo é forte o suficiente para desviar qualquer bombardeio. "
"163" "VADER" "Os rebeldes foram alertados de nossa presença. O almirante Ozzel saiu da velocidade da luz muito perto do sistema."
"164" "VEERS" "Ele achou que a surpresa era mais sábia..."
"165" "VADER" "Ele é tão desajeitado quanto estúpido. General, prepare suas tropas para um ataque de superfície."
"166" "VIAR" "Sim, meu senhor."
"167" "OZZEL" "Lorde Vader, a frota saiu da velocidade da luz, e estamos nos preparando para... Aaagh!"
"168" "VADER" "Você falhou comigo pela última vez, Almirante. Capitão Piett."
"169" "PIETT" "Sim, meu senhor."
"170" "VADER" "Prepare-se para desembarcar tropas além do escudo de energia e desdobre a frota para que nada saia desse sistema. Você está no comando agora, Almirante Piett."
"171" "PIETT" "Obrigado, Lord Vader."
"172" "LEIA" "Todos os transportadores de tropas se reunirão na entrada norte. Os navios de transporte pesado sairão assim que forem carregados. Apenas duas escoltas de caça por navio. O escudo de energia só pode ser aberto por um curto período de tempo, então você terá que ficar muito perto de seus transportes."
"173" "HOBBIE" "Dois caças contra um Star Destroyer?"
"174" "LEIA" "O canhão de íons irá disparar vários tiros para garantir que qualquer nave inimiga esteja fora de sua rota de vôo. Quando você passar pelo escudo de energia, prossiga diretamente para o ponto de encontro. Entendido?"
"175" "PILOTOS" "Certo. Certo."
"176" "LEIA" "Boa sorte."
"177" "DERLIN" "Ok. Todos para seus postos. Vamos!"
"178" "RIEEKAN" "Seu alvo principal serão os geradores de energia. Prepare-se para abrir o escudo."
"179" "CONTROLADOR" "Senhor, naves rebeldes estão entrando em nosso setor."
"180" "CAPTAIN" "Bom. Nossa primeira captura do dia."
"181" "CONTROLADOR DE MULHER" "Aguarde, controle de íons....Fogo!"
"182" "LOCUTOR" "O primeiro transporte está longe."
"183" "DACK" "Sentindo-se bem, senhor?"
"184" "LUKE" "Como novo, Dack. E você?"
"185" "DACK" "Neste momento eu sinto que poderia enfrentar todo o Império sozinho."
"186" "LUKE" "Eu sei o que você quer dizer."
"187" "OFICIAL DE TRENCH" "Estação Eco Três-T-Oito."
"188" "OFICIAL DE TRENCH" "Nós avistamos caminhantes imperiais!"
"189" "CONTROLADOR" "Caminhantes imperiais no cume norte."
"190" "LUKE" "Echo station Five-Seven. Estamos a caminho."
"191" "LUKE" "Tudo bem, rapazes, mantenham-se firmes agora."
"192" "DACK" "Luke, não tenho vetor de aproximação. Não estou pronto."
"193" "LUKE" "Firme, Dack. Delta do padrão de ataque. Vá agora!"
"194" "LUKE" "Tudo bem, estou entrando."
"195" "LUKE" "Hobbie, você ainda está comigo?"
